,0
0,1.822914929855904
1,1.8671737559051742
2,2.597748297360769
3,0.5004835690574021
4,2.675819005240307
5,-21.004074380338984
6,2.167029256257311
7,1.241094207966471
8,-0.026829782567463434
9,-41.092827709288485
10,-10.155825164594493
11,2.265411418927628
12,1.8842201002904497
13,1.12540586052824
14,2.462369962925573
15,-0.2079795580372068
16,-30.41097323355773
17,-0.27996915421647567
18,1.966773023700342
19,1.8341364115094914
20,1.2999840255888881
21,1.096661573389231
22,2.2169858579146955
23,2.1322428589700904
24,1.8830453951589778
25,1.3823290620342057
26,3.1868403540033885
27,0.4489516144755328
28,2.3733791910923165
29,-3.773504593494142
30,1.2052278593758223
31,0.8835227435152586
32,2.007518783939671
33,0.3865510283338449
34,2.0918976953101347
35,1.333939215451462
36,-1.5157542048035646
37,1.8949676585123998
38,1.3445496968330828
39,0.5659871365281783
40,2.64968569844918
41,1.3739513570218476
42,1.5552435342907611
43,1.5548364460334911
44,1.7862634339164187
45,0.10234015508721694
46,1.5664264303750228
47,1.841966921191959
48,1.0784696094035848
49,2.0036302640931267
50,1.4398654208273582
51,-0.32128908820596325
52,-3.3262708470028013
53,2.3482561408689753
54,0.662166989607781
55,-10.282389386143677
56,1.0890896685530667
57,1.878569258404457
58,-16.895345893804
59,1.5311366447641868
60,-1.4715549447114384
61,3.8704022018494038
62,2.1339095620558672
63,0.7466765163757209
64,0.44192193013833564
65,2.2575628086415027
66,-48.98954894007664
67,1.5484439524337472
68,-29.17366405212219
69,1.8966754434787716
70,1.5907976112240392
71,-24.409001114448188
72,-2.524957539087925
73,1.9607324230264318
74,1.089272966344493
75,1.9456213105356603
76,-1.3944025839724523
77,1.2551804424687487
78,2.396839597416174
79,1.6731745556574225
80,1.9026854119882124
81,1.6344403616379282
82,-2.159699738949258
83,1.9823748617277053
84,-0.28596087534188075
85,1.3832706032527549
86,-0.3662763553733259
87,1.749328800651743
88,1.822020252255188
89,1.8079839251181602
90,-0.5304062548088262
91,2.1538393416376094
92,1.539238878056821
93,-4.332045730117159
94,2.4966764771615093
95,1.8311048465180955
96,-1.5668502813982697
97,1.7600815376926178
98,-6.613438331469801
99,-0.5983539955632056
100,-6.914826291886516
